code,name,2011,2010,2009,2008,2007,2006,2005
000707,双环科技,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000708,大冶特钢,0.8741,0.7133,2.809,0.0,0.0,0.0,0.0
000709,河钢股份,2.1786,0.0,4.6847,1.8519,2.9561,14.1415,8.5575
000710,贝瑞基因,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000711,京蓝科技,0.0,0.0,0.3205,0.0,0.0,1.6949,0.885
000712,锦龙股份,0.0,0.209,0.0,0.0,0.0,1.4451,1.4663
000713,丰乐种业,0.0,0.1959,0.2683,0.1809,0.3272,1.8587,0.0
000715,中兴商业,0.5942,0.3676,0.5537,0.7786,0.4639,2.0319,2.1956
000716,黑芝麻,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000717,韶钢松山,0.0,0.0,1.292,0.4959,0.5855,5.123,5.814
000718,苏宁环球,0.5807,0.1631,0.4392,0.0,0.0,0.0,0.0
000719,中原传媒,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000720,新能泰山,0.0,0.0,0.0,0.0,0.0,0.0,1.0602
000721,西安饮食,1.3575,0.0,0.0,0.0,0.4527,0.0,0.0
000722,湖南发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000723,美锦能源,0.6011,0.0,0.0,0.0,0.0,0.0,0.0
000725,京东方A,0.0,0.0,0.0,0.0,0.0,0.5333,0.1696
000726,鲁泰A,2.4201,2.0855,1.8843,1.7841,1.5485,5.3957,4.0894
000727,华东科技,0.0,0.0,0.0,0.0,0.0,1.269,0.0
000728,国元证券,2.4671,4.2222,0.0,1.6502,0.0,0.0,0.0
000729,燕京啤酒,0.8425,0.6881,0.9954,0.6461,0.9585,0.0,2.2215
000731,四川美丰,0.0,2.8871,0.0,0.0,5.166,5.3004,3.2957
000732,泰禾集团,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000733,振华科技,0.0,0.0,0.0,1.2579,0.0,0.0,0.0
000735,罗牛山,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000736,中交地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000737,南风化工,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000738,航发控制,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000739,普洛药业,0.227,0.2278,0.0,0.463,0.2503,1.3966,1.2019
000750,国海证券,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000751,锌业股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000752,西藏发展,0.0429,0.1639,0.0,0.0,0.0,0.0,0.0
000753,漳州发展,0.0,0.0,0.0,0.0,0.0,2.8329,0.0
000755,*ST三维,0.0,0.0,0.0,0.7396,0.6634,0.0,0.0
000756,新华制药,0.6427,0.3421,0.5164,0.3221,0.5198,0.0,0.8533
000757,浩物股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000758,中色股份,0.0604,0.1764,0.8446,0.4697,1.4461,1.4068,0.8584
000759,中百集团,0.8117,0.7757,0.9726,0.506,0.4596,1.1148,1.8223
000760,斯太尔,0.0,0.0,0.3548,0.3379,0.0,0.0,0.0
000761,本钢板材,0.3517,0.8333,5.5077,2.9014,0.403,5.1546,4.6083
000762,西藏矿业,0.0,0.0,0.0,0.6573,0.0,0.0,0.0
000766,通化金马,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000767,漳泽电力,0.0,0.0,5.8462,2.3774,0.0,6.7814,3.2278
